Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
7691,left,2,8,0.625,0.25,0.125,0.0
2424,left,3,12,1.0,0.0,0.0,0.0
4955,left,8,1,1.0,0.0,0.0,0.0
3088,left,8,4,1.0,0.0,0.0,0.0
12626,left,3,1,0.0,1.0,0.0,0.0
1925,right,3,36,0.8055555555555556,0.1111111111111111,0.05555555555555555,0.027777777777777776
1603,left,4,34,0.8235294117647058,0.14705882352941177,0.029411764705882353,0.0
108,left,7,58,0.9655172413793104,0.017241379310344827,0.0,0.017241379310344827
2648,left,3,74,0.9324324324324325,0.05405405405405406,0.013513513513513514,0.0
2466,left,1,28,0.8214285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571
2198,left,18,27,0.7777777777777778,0.18518518518518517,0.037037037037037035,0.0
661,left,8,7,0.8571428571428571,0.0,0.14285714285714285,0.0
2079,left,1,3,1.0,0.0,0.0,0.0
112,left,1,130,0.9534883720930233,0.023255813953488372,0.015503875968992248,0.007751937984496124
7352,right,0,1,0.0,1.0,0.0,0.0
48,right,0,109,0.0,0.8990825688073395,0.045871559633027525,0.05504587155963303
1143,left,1,2,0.5,0.5,0.0,0.0
323,right,17,24,0.7916666666666666,0.125,0.08333333333333333,0.0
1357,left,7,21,0.9523809523809523,0.0,0.0,0.047619047619047616
3355,left,7,3,1.0,0.0,0.0,0.0
632,left,4,1,1.0,0.0,0.0,0.0
433,left,4,15,0.6666666666666666,0.3333333333333333,0.0,0.0
19,right,4,2,0.5,0.5,0.0,0.0
18584,left,8,19,0.8421052631578947,0.10526315789473684,0.05263157894736842,0.0
1002,left,8,11,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0
1890,left,1,1,1.0,0.0,0.0,0.0
5892,right,8,1,1.0,0.0,0.0,0.0
837,left,7,8,0.75,0.125,0.125,0.0
1471,left,7,2,1.0,0.0,0.0,0.0
1066,left,1,14,1.0,0.0,0.0,0.0
937,right,17,26,0.23076923076923078,0.6153846153846154,0.038461538461538464,0.11538461538461539
4399,left,1,27,0.9629629629629629,0.037037037037037035,0.0,0.0
2432,left,7,3,1.0,0.0,0.0,0.0
2872,left,7,4,0.75,0.0,0.0,0.25
974,left,1,4,1.0,0.0,0.0,0.0
2008,left,1,44,0.9767441860465116,0.0,0.0,0.023255813953488372
1316,left,9,164,0.8963414634146342,0.054878048780487805,0.018292682926829267,0.03048780487804878
9620,left,10,1,1.0,0.0,0.0,0.0
2083,left,10,5,1.0,0.0,0.0,0.0
6497,left,18,2,1.0,0.0,0.0,0.0
2639,left,7,3,1.0,0.0,0.0,0.0
3795,left,18,8,0.625,0.375,0.0,0.0
2962,right,0,1,0.0,1.0,0.0,0.0
341,right,0,12,0.0,0.9166666666666666,0.08333333333333333,0.0
1134,left,3,3,1.0,0.0,0.0,0.0
17644,neutral,13,4,0.0,0.75,0.25,0.0
18521,middle,13,1,0.0,0.0,0.0,1.0
13120,right,13,2,0.5,0.0,0.0,0.5
580,right,6,75,0.7866666666666666,0.06666666666666667,0.04,0.10666666666666667
18269,left,10,1,1.0,0.0,0.0,0.0
2536,left,10,45,0.9545454545454546,0.0,0.022727272727272728,0.022727272727272728
4631,middle,0,1,0.0,1.0,0.0,0.0
1266,right,0,79,0.0,0.9367088607594937,0.02531645569620253,0.0379746835443038
2287,left,13,2,1.0,0.0,0.0,0.0
43,left,13,29,0.8275862068965517,0.06896551724137931,0.034482758620689655,0.06896551724137931
1367,right,3,11,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091
2085,left,7,7,0.8571428571428571,0.0,0.0,0.14285714285714285
5761,left,10,5,0.8,0.2,0.0,0.0
5083,left,7,1,1.0,0.0,0.0,0.0
211,left,4,10,0.9,0.0,0.1,0.0
18400,left,18,2,1.0,0.0,0.0,0.0
4234,left,18,2,1.0,0.0,0.0,0.0
3849,left,6,3,0.0,1.0,0.0,0.0
11713,right,6,1,1.0,0.0,0.0,0.0
5574,left,1,11,1.0,0.0,0.0,0.0
9701,right,0,1,0.0,1.0,0.0,0.0
905,left,1,17,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.0
