Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
3146,left,3,7,0.8571428571428571,0.14285714285714285,0.0,0.0
1993,left,12,63,0.5873015873015873,0.14285714285714285,0.06349206349206349,0.20634920634920634
958,left,5,29,0.5862068965517241,0.10344827586206896,0.10344827586206896,0.20689655172413793
2466,left,4,16,0.875,0.0625,0.0625,0.0
9248,left,2,9,1.0,0.0,0.0,0.0
19128,left,2,42,0.9285714285714286,0.0,0.023809523809523808,0.047619047619047616
747,left,9,21,1.0,0.0,0.0,0.0
1604,left,13,23,0.6363636363636364,0.13636363636363635,0.0,0.22727272727272727
8603,left,2,1,0.0,1.0,0.0,0.0
4105,right,2,6,0.8333333333333334,0.16666666666666666,0.0,0.0
431,left,4,27,0.7777777777777778,0.18518518518518517,0.037037037037037035,0.0
19129,left,2,1,1.0,0.0,0.0,0.0
649,left,2,312,0.9423076923076923,0.019230769230769232,0.01282051282051282,0.02564102564102564
19130,neutral,15,1,0.0,1.0,0.0,0.0
15695,right,15,25,0.56,0.36,0.0,0.08
13162,neutral,13,2,1.0,0.0,0.0,0.0
196,left,9,11,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0
1668,left,1,3,0.6666666666666666,0.3333333333333333,0.0,0.0
3504,left,9,32,0.875,0.09375,0.0,0.03125
18928,right,0,4,0.0,1.0,0.0,0.0
5958,right,0,77,0.12987012987012986,0.8181818181818182,0.012987012987012988,0.03896103896103896
2279,right,6,42,0.8571428571428571,0.047619047619047616,0.0,0.09523809523809523
1612,left,2,2,1.0,0.0,0.0,0.0
19131,neutral,5,1,0.0,1.0,0.0,0.0
188,right,5,128,0.796875,0.0859375,0.0625,0.0546875
48,right,0,3,0.6666666666666666,0.3333333333333333,0.0,0.0
112,left,9,120,0.8823529411764706,0.05042016806722689,0.01680672268907563,0.05042016806722689
5177,left,0,2,0.0,1.0,0.0,0.0
12590,left,1,2,0.0,0.5,0.5,0.0
2586,middle,1,25,0.48,0.2,0.32,0.0
1261,right,0,8,0.0,1.0,0.0,0.0
5720,left,6,4,0.75,0.25,0.0,0.0
1877,left,6,2,1.0,0.0,0.0,0.0
18944,right,6,1,1.0,0.0,0.0,0.0
851,right,0,3,0.0,1.0,0.0,0.0
8148,right,0,3,0.0,1.0,0.0,0.0
16704,right,11,1,1.0,0.0,0.0,0.0
171,left,11,25,0.96,0.04,0.0,0.0
412,left,7,122,0.9590163934426229,0.01639344262295082,0.0,0.02459016393442623
937,right,18,8,0.625,0.375,0.0,0.0
8634,left,5,2,0.5,0.5,0.0,0.0
6497,left,7,2,1.0,0.0,0.0,0.0
11844,right,0,1,0.0,1.0,0.0,0.0
4277,right,0,16,0.0,1.0,0.0,0.0
3084,left,7,2,1.0,0.0,0.0,0.0
1736,left,15,2,0.5,0.5,0.0,0.0
19132,left,6,1,0.0,1.0,0.0,0.0
2235,left,2,4,0.75,0.25,0.0,0.0
