Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1815,right,1,6,0.0,0.6666666666666666,0.3333333333333333,0.0
2412,right,13,5,0.0,1.0,0.0,0.0
1507,right,13,25,0.0,0.96,0.04,0.0
11844,right,13,3,0.0,1.0,0.0,0.0
4277,right,2,30,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0
18557,left,0,12,1.0,0.0,0.0,0.0
2332,left,0,1,1.0,0.0,0.0,0.0
7145,left,10,9,0.7777777777777778,0.0,0.0,0.2222222222222222
2466,left,7,8,0.875,0.125,0.0,0.0
13896,right,3,3,0.6666666666666666,0.3333333333333333,0.0,0.0
254,left,6,8,0.875,0.0,0.0,0.125
1604,left,7,6,1.0,0.0,0.0,0.0
1827,left,7,1,1.0,0.0,0.0,0.0
3870,left,10,2,1.0,0.0,0.0,0.0
1062,left,10,30,0.9,0.06666666666666667,0.03333333333333333,0.0
2300,right,2,2,0.0,1.0,0.0,0.0
4,right,13,6,0.16666666666666666,0.8333333333333334,0.0,0.0
757,right,9,12,0.08333333333333333,0.5,0.4166666666666667,0.0
542,middle,9,15,0.13333333333333333,0.6,0.26666666666666666,0.0
10333,right,1,1,0.0,0.0,1.0,0.0
16553,middle,1,74,0.0945945945945946,0.8783783783783784,0.013513513513513514,0.013513513513513514
1736,left,10,1,1.0,0.0,0.0,0.0
2795,left,12,1,1.0,0.0,0.0,0.0
155,left,12,3,0.6666666666666666,0.0,0.0,0.3333333333333333
4980,right,3,1,0.0,1.0,0.0,0.0
14427,neutral,1,1,0.0,1.0,0.0,0.0
1516,right,1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2011,left,34,1,1.0,0.0,0.0,0.0
20033,left,34,1,1.0,0.0,0.0,0.0
7691,left,3,3,0.6666666666666666,0.0,0.3333333333333333,0.0
26,left,3,7,0.8571428571428571,0.0,0.14285714285714285,0.0
772,left,0,3,1.0,0.0,0.0,0.0
43,left,10,8,1.0,0.0,0.0,0.0
10974,right,13,2,0.0,1.0,0.0,0.0
2972,left,10,1,1.0,0.0,0.0,0.0
22392,left,26,1,0.0,1.0,0.0,0.0
10862,right,26,2,0.5,0.5,0.0,0.0
820,left,0,5,1.0,0.0,0.0,0.0
1266,right,8,71,0.014084507042253521,0.9295774647887324,0.0,0.056338028169014086
2593,left,10,2,1.0,0.0,0.0,0.0
2448,right,8,5,0.0,0.8,0.2,0.0
4515,right,1,4,0.0,0.75,0.25,0.0
412,left,0,49,1.0,0.0,0.0,0.0
159,left,11,26,0.8846153846153846,0.07692307692307693,0.038461538461538464,0.0
196,left,3,7,0.8571428571428571,0.0,0.0,0.14285714285714285
1316,left,6,37,0.7567567567567568,0.08108108108108109,0.05405405405405406,0.10810810810810811
