Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1817,left,0,2,1.0,0.0,0.0,0.0
12223,left,0,1,1.0,0.0,0.0,0.0
2170,left,2,2,1.0,0.0,0.0,0.0
2536,left,2,81,0.8625,0.0375,0.025,0.075
5531,left,5,1,0.0,1.0,0.0,0.0
19,right,5,12,0.9090909090909091,0.09090909090909091,0.0,0.0
8990,left,8,2,1.0,0.0,0.0,0.0
1316,left,8,158,0.9050632911392406,0.03164556962025317,0.012658227848101266,0.05063291139240506
472,right,10,2,1.0,0.0,0.0,0.0
5868,left,10,1,0.0,1.0,0.0,0.0
2484,left,6,2,1.0,0.0,0.0,0.0
418,left,18,1,0.0,1.0,0.0,0.0
387,right,18,7,1.0,0.0,0.0,0.0
1482,left,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
14,right,2,157,0.6815286624203821,0.18471337579617833,0.09554140127388536,0.03821656050955414
24343,neutral,32,1,1.0,0.0,0.0,0.0
1148,left,32,1,0.0,0.0,0.0,1.0
1134,left,11,6,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666
1604,left,11,11,0.8,0.2,0.0,0.0
1437,right,17,8,0.125,0.375,0.25,0.25
4463,right,17,2,0.5,0.5,0.0,0.0
7386,left,13,2,1.0,0.0,0.0,0.0
1915,left,13,10,0.8,0.1,0.0,0.1
7691,left,4,3,1.0,0.0,0.0,0.0
26,left,4,4,1.0,0.0,0.0,0.0
2639,left,13,1,1.0,0.0,0.0,0.0
747,left,13,21,0.95,0.0,0.0,0.05
18557,left,3,4,0.5,0.0,0.5,0.0
10974,right,1,2,0.0,1.0,0.0,0.0
1245,right,1,8,0.0,1.0,0.0,0.0
964,left,2,1,0.0,1.0,0.0,0.0
3364,right,1,4,0.0,1.0,0.0,0.0
11477,middle,17,1,0.0,1.0,0.0,0.0
21066,right,17,1,0.0,1.0,0.0,0.0
3672,right,1,3,0.0,1.0,0.0,0.0
3728,left,4,2,1.0,0.0,0.0,0.0
5787,left,12,12,0.9166666666666666,0.0,0.0,0.08333333333333333
2488,left,12,1,1.0,0.0,0.0,0.0
1160,left,2,6,0.8333333333333334,0.16666666666666666,0.0,0.0
13333,left,17,2,0.0,1.0,0.0,0.0
7738,right,13,1,1.0,0.0,0.0,0.0
802,middle,14,2,0.0,0.5,0.5,0.0
7114,left,2,1,1.0,0.0,0.0,0.0
3444,left,13,3,1.0,0.0,0.0,0.0
5020,right,1,3,0.0,1.0,0.0,0.0
3925,right,1,2,0.0,1.0,0.0,0.0
8169,right,1,1,0.0,1.0,0.0,0.0
851,right,1,2,0.0,1.0,0.0,0.0
3482,left,2,9,0.6666666666666666,0.3333333333333333,0.0,0.0
2905,left,9,5,0.8,0.0,0.0,0.2
16206,neutral,9,1,1.0,0.0,0.0,0.0
8530,left,9,1,1.0,0.0,0.0,0.0
24346,neutral,12,1,1.0,0.0,0.0,0.0
11023,right,2,3,0.0,0.3333333333333333,0.6666666666666666,0.0
6163,middle,2,1,0.0,1.0,0.0,0.0
11396,left,12,4,0.75,0.25,0.0,0.0
3419,left,2,1,1.0,0.0,0.0,0.0
181,right,14,7,0.0,0.42857142857142855,0.5714285714285714,0.0
182,middle,14,10,0.1,0.4,0.5,0.0
406,middle,14,2,0.0,1.0,0.0,0.0
2586,middle,14,2,0.0,1.0,0.0,0.0
405,middle,14,2,0.0,1.0,0.0,0.0
29,right,14,3,0.0,1.0,0.0,0.0
613,right,1,2,0.0,1.0,0.0,0.0
292,left,7,18,0.8333333333333334,0.16666666666666666,0.0,0.0
6018,left,6,9,1.0,0.0,0.0,0.0
1007,left,4,5,1.0,0.0,0.0,0.0
183,right,14,7,0.0,0.42857142857142855,0.5714285714285714,0.0
17603,left,3,3,0.6666666666666666,0.0,0.3333333333333333,0.0
293,left,3,2,1.0,0.0,0.0,0.0
145,middle,3,26,0.8461538461538461,0.038461538461538464,0.07692307692307693,0.038461538461538464
23839,left,3,1,1.0,0.0,0.0,0.0
32,right,17,1,0.0,1.0,0.0,0.0
356,left,3,6,0.8333333333333334,0.0,0.16666666666666666,0.0
325,left,2,7,0.8571428571428571,0.14285714285714285,0.0,0.0
4712,middle,23,1,0.0,1.0,0.0,0.0
2443,right,23,2,0.0,0.5,0.5,0.0
24347,right,33,1,0.0,1.0,0.0,0.0
24348,right,33,1,0.0,1.0,0.0,0.0
22225,right,2,1,0.0,1.0,0.0,0.0
588,left,2,8,0.875,0.125,0.0,0.0
5574,left,7,9,1.0,0.0,0.0,0.0
2466,left,11,7,1.0,0.0,0.0,0.0
1201,left,13,10,0.7,0.2,0.1,0.0
