Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1359,left,6,1,1.0,0.0,0.0,0.0
2648,left,6,31,0.967741935483871,0.03225806451612903,0.0,0.0
2086,right,5,2,0.0,1.0,0.0,0.0
1507,right,5,55,0.0,0.9454545454545454,0.01818181818181818,0.03636363636363636
5568,left,0,1,1.0,0.0,0.0,0.0
5177,left,0,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
1815,right,5,2,0.0,1.0,0.0,0.0
24216,right,5,2,0.0,1.0,0.0,0.0
22137,right,5,2,0.0,1.0,0.0,0.0
5285,right,5,2,0.0,1.0,0.0,0.0
7995,right,6,1,1.0,0.0,0.0,0.0
1757,left,3,2,1.0,0.0,0.0,0.0
592,left,3,3,0.6666666666666666,0.3333333333333333,0.0,0.0
964,left,4,2,1.0,0.0,0.0,0.0
649,left,4,2,1.0,0.0,0.0,0.0
5868,left,10,11,1.0,0.0,0.0,0.0
9156,left,6,1,1.0,0.0,0.0,0.0
12780,left,6,2,1.0,0.0,0.0,0.0
1833,left,14,3,1.0,0.0,0.0,0.0
2008,left,14,6,1.0,0.0,0.0,0.0
3910,left,7,7,1.0,0.0,0.0,0.0
437,left,7,4,1.0,0.0,0.0,0.0
1266,right,0,24,0.041666666666666664,0.9583333333333334,0.0,0.0
4515,right,0,7,0.0,1.0,0.0,0.0
80,left,11,3,1.0,0.0,0.0,0.0
112,left,11,25,0.9166666666666666,0.0,0.041666666666666664,0.041666666666666664
17375,left,4,5,1.0,0.0,0.0,0.0
22575,right,5,1,0.0,1.0,0.0,0.0
18153,left,4,1,1.0,0.0,0.0,0.0
3028,left,4,22,0.8181818181818182,0.18181818181818182,0.0,0.0
747,left,3,8,0.75,0.0,0.0,0.25
3355,left,6,1,1.0,0.0,0.0,0.0
2112,left,4,2,1.0,0.0,0.0,0.0
196,left,3,3,0.6666666666666666,0.0,0.3333333333333333,0.0
6018,left,6,12,1.0,0.0,0.0,0.0
2237,left,4,1,1.0,0.0,0.0,0.0
1316,left,4,25,0.92,0.04,0.0,0.04
1509,left,8,2,0.5,0.5,0.0,0.0
2289,left,8,33,0.9393939393939394,0.0,0.06060606060606061,0.0
4099,right,5,1,0.0,1.0,0.0,0.0
3364,right,5,2,0.0,1.0,0.0,0.0
22392,left,7,1,1.0,0.0,0.0,0.0
2593,left,4,3,1.0,0.0,0.0,0.0
131,right,3,4,0.25,0.75,0.0,0.0
1993,left,4,11,0.6363636363636364,0.18181818181818182,0.0,0.18181818181818182
7691,left,6,1,1.0,0.0,0.0,0.0
6094,left,6,11,0.8181818181818182,0.09090909090909091,0.0,0.09090909090909091
2826,right,24,1,1.0,0.0,0.0,0.0
1454,left,24,3,0.0,0.3333333333333333,0.0,0.6666666666666666
7182,right,5,3,0.0,1.0,0.0,0.0
3183,left,10,1,1.0,0.0,0.0,0.0
3419,left,4,4,1.0,0.0,0.0,0.0
19626,left,4,1,1.0,0.0,0.0,0.0
631,left,4,7,1.0,0.0,0.0,0.0
2639,left,4,2,1.0,0.0,0.0,0.0
35,left,6,6,1.0,0.0,0.0,0.0
6512,left,6,9,1.0,0.0,0.0,0.0
24004,right,25,2,0.0,1.0,0.0,0.0
3713,right,25,1,0.0,1.0,0.0,0.0
1783,right,25,2,0.5,0.5,0.0,0.0
3455,right,13,1,0.0,1.0,0.0,0.0
4875,right,13,4,0.75,0.25,0.0,0.0
1937,right,5,1,0.0,1.0,0.0,0.0
5019,left,1,1,1.0,0.0,0.0,0.0
402,left,1,22,0.9090909090909091,0.09090909090909091,0.0,0.0
8995,left,4,1,1.0,0.0,0.0,0.0
1890,left,3,2,1.0,0.0,0.0,0.0
888,left,3,1,1.0,0.0,0.0,0.0
5279,left,6,1,1.0,0.0,0.0,0.0
1458,left,4,5,0.6,0.4,0.0,0.0
340,left,3,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0
1002,left,4,6,0.8333333333333334,0.16666666666666666,0.0,0.0
2536,left,10,7,1.0,0.0,0.0,0.0
4643,right,5,1,0.0,1.0,0.0,0.0
21210,left,4,1,1.0,0.0,0.0,0.0
63,left,4,2,1.0,0.0,0.0,0.0
8634,left,4,1,1.0,0.0,0.0,0.0
9501,right,0,2,0.0,1.0,0.0,0.0
2279,right,0,1,0.0,1.0,0.0,0.0
1887,left,6,2,0.5,0.5,0.0,0.0
1122,left,10,1,1.0,0.0,0.0,0.0
17360,right,4,5,0.8,0.0,0.0,0.2
4020,right,5,2,0.0,1.0,0.0,0.0
2072,left,6,2,1.0,0.0,0.0,0.0
5387,neutral,0,3,0.0,0.6666666666666666,0.0,0.3333333333333333
19254,neutral,0,2,0.0,0.5,0.0,0.5
9662,right,5,1,0.0,1.0,0.0,0.0
19066,left,6,3,1.0,0.0,0.0,0.0
1384,left,3,2,0.5,0.0,0.5,0.0
28,middle,3,77,0.7662337662337663,0.11688311688311688,0.025974025974025976,0.09090909090909091
5233,left,11,1,1.0,0.0,0.0,0.0
4710,right,37,1,0.0,1.0,0.0,0.0
1261,right,37,1,0.0,1.0,0.0,0.0
26,left,4,3,1.0,0.0,0.0,0.0
588,left,10,5,1.0,0.0,0.0,0.0
6914,right,5,2,0.0,1.0,0.0,0.0
9358,left,7,2,1.0,0.0,0.0,0.0
3141,left,4,1,1.0,0.0,0.0,0.0
11882,right,5,1,0.0,1.0,0.0,0.0
1202,left,4,1,1.0,0.0,0.0,0.0
13644,right,5,2,0.0,1.0,0.0,0.0
2723,left,4,1,1.0,0.0,0.0,0.0
2719,right,5,8,0.125,0.875,0.0,0.0
24217,left,38,1,1.0,0.0,0.0,0.0
15250,left,38,1,1.0,0.0,0.0,0.0
2890,left,6,1,1.0,0.0,0.0,0.0
1956,left,7,3,0.6666666666666666,0.0,0.3333333333333333,0.0
2007,left,7,4,0.25,0.75,0.0,0.0
5361,middle,7,2,1.0,0.0,0.0,0.0
1189,left,10,13,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0
982,left,7,16,0.875,0.0625,0.0,0.0625
969,left,10,7,1.0,0.0,0.0,0.0
1148,left,10,1,1.0,0.0,0.0,0.0
388,left,11,4,1.0,0.0,0.0,0.0
2035,right,30,2,0.0,1.0,0.0,0.0
2033,right,30,1,0.0,1.0,0.0,0.0
15917,right,30,1,0.0,1.0,0.0,0.0
4087,right,5,1,0.0,1.0,0.0,0.0
5670,neutral,5,1,0.0,1.0,0.0,0.0
9265,left,6,1,1.0,0.0,0.0,0.0
4430,right,13,1,0.0,1.0,0.0,0.0
2410,right,13,3,0.6666666666666666,0.3333333333333333,0.0,0.0
2815,right,0,7,0.0,1.0,0.0,0.0
24218,right,5,1,0.0,1.0,0.0,0.0
8022,right,5,1,0.0,1.0,0.0,0.0
3723,left,6,3,1.0,0.0,0.0,0.0
2339,left,2,3,0.6666666666666666,0.3333333333333333,0.0,0.0
13896,right,2,1,1.0,0.0,0.0,0.0
2879,left,6,1,1.0,0.0,0.0,0.0
9332,right,7,1,1.0,0.0,0.0,0.0
2329,right,7,2,1.0,0.0,0.0,0.0
5195,right,4,1,1.0,0.0,0.0,0.0
2428,left,6,1,1.0,0.0,0.0,0.0
1281,right,5,1,0.0,1.0,0.0,0.0
24219,left,6,1,1.0,0.0,0.0,0.0
595,neutral,4,1,0.0,1.0,0.0,0.0
515,left,6,1,1.0,0.0,0.0,0.0
873,left,6,2,1.0,0.0,0.0,0.0
4603,left,7,1,1.0,0.0,0.0,0.0
1064,left,7,9,1.0,0.0,0.0,0.0
8500,right,5,1,0.0,1.0,0.0,0.0
10166,left,39,1,0.0,1.0,0.0,0.0
15695,right,39,1,1.0,0.0,0.0,0.0
3494,right,0,2,0.0,1.0,0.0,0.0
4563,right,0,27,0.037037037037037035,0.9629629629629629,0.0,0.0
648,right,72,2,0.0,1.0,0.0,0.0
18546,right,0,2,0.0,1.0,0.0,0.0
1030,right,0,3,0.0,1.0,0.0,0.0
13203,left,4,1,1.0,0.0,0.0,0.0
652,left,12,2,0.5,0.5,0.0,0.0
3795,left,40,1,0.0,1.0,0.0,0.0
6826,right,40,1,1.0,0.0,0.0,0.0
3187,right,0,2,0.0,1.0,0.0,0.0
334,left,7,1,1.0,0.0,0.0,0.0
2876,right,0,1,0.0,1.0,0.0,0.0
3900,left,6,2,1.0,0.0,0.0,0.0
518,left,8,3,1.0,0.0,0.0,0.0
4590,right,3,1,1.0,0.0,0.0,0.0
24220,right,4,1,1.0,0.0,0.0,0.0
24221,right,5,1,0.0,1.0,0.0,0.0
4693,right,7,1,1.0,0.0,0.0,0.0
2630,right,0,1,0.0,1.0,0.0,0.0
13855,right,0,1,0.0,1.0,0.0,0.0
8096,right,15,3,0.0,1.0,0.0,0.0
48,right,15,16,0.0,0.9375,0.0,0.0625
5338,left,4,1,1.0,0.0,0.0,0.0
23463,left,13,1,0.0,1.0,0.0,0.0
224,right,12,26,0.6538461538461539,0.19230769230769232,0.11538461538461539,0.038461538461538464
258,right,12,11,0.9090909090909091,0.09090909090909091,0.0,0.0
4309,right,0,1,0.0,1.0,0.0,0.0
990,left,3,1,1.0,0.0,0.0,0.0
1604,left,3,2,0.5,0.0,0.5,0.0
7168,neutral,41,1,1.0,0.0,0.0,0.0
722,left,41,1,0.0,0.0,0.0,1.0
4268,left,6,1,1.0,0.0,0.0,0.0
16006,neutral,4,1,1.0,0.0,0.0,0.0
1759,neutral,0,2,0.5,0.5,0.0,0.0
3080,right,15,5,0.0,1.0,0.0,0.0
958,left,3,6,0.5,0.3333333333333333,0.16666666666666666,0.0
1582,right,5,2,0.0,1.0,0.0,0.0
175,left,9,3,0.6666666666666666,0.0,0.3333333333333333,0.0
159,left,9,48,0.9583333333333334,0.020833333333333332,0.020833333333333332,0.0
5366,right,0,5,0.4,0.6,0.0,0.0
3481,right,0,42,0.024390243902439025,0.9512195121951219,0.024390243902439025,0.0
1182,left,8,1,1.0,0.0,0.0,0.0
412,left,8,29,0.9655172413793104,0.0,0.0,0.034482758620689655
10019,left,7,1,1.0,0.0,0.0,0.0
2962,right,15,1,0.0,1.0,0.0,0.0
795,right,0,12,0.16666666666666666,0.8333333333333334,0.0,0.0
671,left,9,2,1.0,0.0,0.0,0.0
