Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1829,middle,0,1,0.0,0.0,1.0,0.0
28,middle,0,311,0.7354838709677419,0.13548387096774195,0.05806451612903226,0.07096774193548387
1830,right,8,1,0.0,0.0,0.0,1.0
1427,neutral,8,75,0.8666666666666667,0.05333333333333334,0.04,0.04
974,left,0,7,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857
282,left,6,46,0.8478260869565217,0.06521739130434782,0.0,0.08695652173913043
1831,left,6,3,1.0,0.0,0.0,0.0
33,right,5,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0
361,right,5,3,0.0,0.6666666666666666,0.3333333333333333,0.0
170,left,6,1,0.0,1.0,0.0,0.0
423,right,6,7,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285
1832,left,2,9,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111
747,left,2,151,0.8066666666666666,0.09333333333333334,0.04666666666666667,0.05333333333333334
14,right,2,361,0.7617728531855956,0.13019390581717452,0.055401662049861494,0.05263157894736842
1833,left,7,5,1.0,0.0,0.0,0.0
1497,left,1,93,0.9247311827956989,0.021505376344086023,0.021505376344086023,0.03225806451612903
1834,left,12,4,0.75,0.25,0.0,0.0
1280,left,2,117,0.8632478632478633,0.08547008547008547,0.017094017094017096,0.03418803418803419
196,left,6,23,0.782608695652174,0.043478260869565216,0.043478260869565216,0.13043478260869565
959,neutral,10,35,0.8285714285714286,0.08571428571428572,0.02857142857142857,0.05714285714285714
1835,neutral,2,2,0.5,0.5,0.0,0.0
1836,left,0,1,1.0,0.0,0.0,0.0
1076,left,0,31,0.7419354838709677,0.16129032258064516,0.0,0.0967741935483871
1837,left,9,1,1.0,0.0,0.0,0.0
1148,left,9,51,0.9607843137254902,0.0196078431372549,0.0,0.0196078431372549
1316,left,1,275,0.9309090909090909,0.025454545454545455,0.01090909090909091,0.03272727272727273
225,neutral,0,149,0.7315436241610739,0.12751677852348994,0.08053691275167785,0.06040268456375839
1838,left,1,2,1.0,0.0,0.0,0.0
116,left,1,6,1.0,0.0,0.0,0.0
1699,left,2,4,0.5,0.5,0.0,0.0
580,right,0,60,0.7333333333333333,0.11666666666666667,0.06666666666666667,0.08333333333333333
749,left,6,5,0.8,0.0,0.0,0.2
