Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1815,right,4,2,0.0,1.0,0.0,0.0
1507,right,4,4,0.0,1.0,0.0,0.0
24261,right,6,1,0.0,1.0,0.0,0.0
3481,right,6,6,0.3333333333333333,0.6666666666666666,0.0,0.0
1798,left,0,1,0.0,1.0,0.0,0.0
24227,right,0,278,0.8776978417266187,0.03237410071942446,0.02158273381294964,0.0683453237410072
1863,right,0,1,0.0,1.0,0.0,0.0
4556,right,4,18,0.05555555555555555,0.9444444444444444,0.0,0.0
924,left,0,1,0.0,1.0,0.0,0.0
13196,left,22,2,0.0,1.0,0.0,0.0
423,right,22,2,1.0,0.0,0.0,0.0
2962,right,6,3,0.0,1.0,0.0,0.0
4,right,6,2,0.0,1.0,0.0,0.0
2542,left,0,1,0.0,1.0,0.0,0.0
5369,neutral,0,1,0.0,1.0,0.0,0.0
1288,left,0,1,0.0,1.0,0.0,0.0
3050,left,0,1,0.0,1.0,0.0,0.0
3649,left,0,1,0.0,1.0,0.0,0.0
11407,neutral,0,1,0.0,1.0,0.0,0.0
11655,left,0,1,0.0,1.0,0.0,0.0
1625,left,2,2,0.5,0.5,0.0,0.0
3192,left,11,1,1.0,0.0,0.0,0.0
649,left,11,8,0.5,0.5,0.0,0.0
12597,left,0,1,0.0,1.0,0.0,0.0
134,left,0,1,0.0,1.0,0.0,0.0
1643,left,31,1,1.0,0.0,0.0,0.0
17375,left,31,1,1.0,0.0,0.0,0.0
6167,right,4,1,0.0,1.0,0.0,0.0
4445,right,4,2,0.0,1.0,0.0,0.0
2170,left,3,4,0.75,0.25,0.0,0.0
431,left,8,10,0.9,0.1,0.0,0.0
1665,left,3,5,0.6,0.0,0.2,0.2
433,left,3,51,0.47058823529411764,0.47058823529411764,0.0196078431372549,0.0392156862745098
3298,middle,5,2,0.0,0.0,1.0,0.0
28,middle,5,49,0.7346938775510204,0.12244897959183673,0.10204081632653061,0.04081632653061224
152,left,14,3,0.6666666666666666,0.3333333333333333,0.0,0.0
982,left,14,2,1.0,0.0,0.0,0.0
12363,left,0,1,0.0,1.0,0.0,0.0
14970,left,0,1,0.0,1.0,0.0,0.0
22258,right,6,2,0.0,1.0,0.0,0.0
4277,right,6,4,0.25,0.75,0.0,0.0
18557,left,7,1,1.0,0.0,0.0,0.0
60,left,7,15,1.0,0.0,0.0,0.0
2639,left,7,2,0.5,0.5,0.0,0.0
747,left,0,1,0.0,1.0,0.0,0.0
667,left,7,1,1.0,0.0,0.0,0.0
4312,left,8,1,1.0,0.0,0.0,0.0
12590,left,5,1,0.0,0.0,1.0,0.0
18400,left,3,2,0.5,0.5,0.0,0.0
24262,right,3,2,1.0,0.0,0.0,0.0
54,left,3,1,0.0,1.0,0.0,0.0
5502,neutral,3,2,1.0,0.0,0.0,0.0
3760,left,0,1,0.0,1.0,0.0,0.0
3659,right,6,2,0.0,0.5,0.5,0.0
537,neutral,5,3,0.0,0.6666666666666666,0.3333333333333333,0.0
71,right,5,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
17004,left,0,1,0.0,1.0,0.0,0.0
11414,left,0,1,0.0,1.0,0.0,0.0
1604,left,5,2,0.0,0.5,0.5,0.0
360,left,0,1,0.0,1.0,0.0,0.0
12232,left,9,1,1.0,0.0,0.0,0.0
7178,left,9,17,0.9411764705882353,0.0,0.0,0.058823529411764705
3924,right,32,1,0.0,1.0,0.0,0.0
3904,right,32,1,0.0,1.0,0.0,0.0
3896,left,22,1,0.0,1.0,0.0,0.0
4130,middle,0,1,0.0,1.0,0.0,0.0
1412,left,9,2,0.5,0.0,0.5,0.0
3006,right,11,4,0.25,0.75,0.0,0.0
18956,middle,33,1,0.0,1.0,0.0,0.0
10520,right,33,1,0.0,0.0,1.0,0.0
1122,left,9,1,1.0,0.0,0.0,0.0
2242,middle,0,1,0.0,1.0,0.0,0.0
1900,left,0,1,0.0,1.0,0.0,0.0
986,left,0,1,0.0,1.0,0.0,0.0
24263,left,6,1,0.0,1.0,0.0,0.0
23252,right,34,1,0.0,1.0,0.0,0.0
4581,right,34,1,0.0,1.0,0.0,0.0
11844,right,11,2,0.5,0.5,0.0,0.0
3103,left,7,3,1.0,0.0,0.0,0.0
17341,left,7,1,1.0,0.0,0.0,0.0
1357,left,7,1,1.0,0.0,0.0,0.0
18788,middle,35,1,0.0,0.0,1.0,0.0
1449,middle,35,1,0.0,0.0,1.0,0.0
2593,left,0,2,0.5,0.5,0.0,0.0
4047,left,0,1,0.0,1.0,0.0,0.0
648,right,36,1,0.0,1.0,0.0,0.0
3899,right,36,1,0.0,1.0,0.0,0.0
5019,left,6,1,0.0,1.0,0.0,0.0
63,left,2,2,0.5,0.5,0.0,0.0
657,right,5,2,0.5,0.0,0.5,0.0
4453,right,6,1,0.0,1.0,0.0,0.0
8265,left,1,1,1.0,0.0,0.0,0.0
3910,left,1,5,1.0,0.0,0.0,0.0
5569,left,1,1,1.0,0.0,0.0,0.0
20970,left,0,1,0.0,1.0,0.0,0.0
4513,left,5,1,0.0,0.0,1.0,0.0
11808,right,6,1,0.0,1.0,0.0,0.0
35,left,9,2,1.0,0.0,0.0,0.0
1007,left,8,3,0.6666666666666666,0.3333333333333333,0.0,0.0
3759,left,9,1,1.0,0.0,0.0,0.0
19740,left,0,1,0.0,1.0,0.0,0.0
905,left,1,3,1.0,0.0,0.0,0.0
1870,left,7,1,1.0,0.0,0.0,0.0
2289,left,7,3,1.0,0.0,0.0,0.0
1458,left,8,6,0.8333333333333334,0.16666666666666666,0.0,0.0
2201,left,8,2,1.0,0.0,0.0,0.0
16490,left,8,1,1.0,0.0,0.0,0.0
1466,left,5,1,0.0,0.0,1.0,0.0
1594,middle,3,2,1.0,0.0,0.0,0.0
9196,left,0,1,0.0,1.0,0.0,0.0
6453,left,0,1,0.0,1.0,0.0,0.0
1239,left,8,3,0.6666666666666666,0.3333333333333333,0.0,0.0
22497,right,5,1,0.0,0.0,1.0,0.0
476,right,10,1,0.0,0.0,1.0,0.0
11905,middle,10,11,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.45454545454545453
4920,left,0,1,0.0,1.0,0.0,0.0
243,left,5,1,0.0,0.0,1.0,0.0
19100,middle,0,1,0.0,1.0,0.0,0.0
8811,left,0,1,0.0,1.0,0.0,0.0
6204,right,6,1,0.0,1.0,0.0,0.0
5283,right,5,1,0.0,0.0,1.0,0.0
1189,left,1,7,0.8571428571428571,0.14285714285714285,0.0,0.0
412,left,1,4,0.75,0.25,0.0,0.0
24264,neutral,3,1,1.0,0.0,0.0,0.0
159,left,3,14,0.8571428571428571,0.07142857142857142,0.0,0.07142857142857142
545,left,5,1,0.0,0.0,1.0,0.0
6775,neutral,0,1,0.0,1.0,0.0,0.0
932,left,5,3,0.3333333333333333,0.6666666666666666,0.0,0.0
2442,left,0,1,0.0,1.0,0.0,0.0
5929,left,0,1,0.0,1.0,0.0,0.0
6966,left,0,1,0.0,1.0,0.0,0.0
16386,left,0,1,0.0,1.0,0.0,0.0
292,left,1,7,1.0,0.0,0.0,0.0
2343,right,5,14,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.07142857142857142
2085,left,0,1,0.0,1.0,0.0,0.0
39,left,3,2,1.0,0.0,0.0,0.0
5231,neutral,10,1,0.0,0.0,1.0,0.0
3365,left,8,1,1.0,0.0,0.0,0.0
1442,left,1,2,0.5,0.5,0.0,0.0
3024,left,1,9,1.0,0.0,0.0,0.0
661,left,5,2,0.0,0.5,0.5,0.0
821,middle,5,2,0.0,0.5,0.5,0.0
12675,right,70,2,0.0,1.0,0.0,0.0
5793,left,0,2,0.5,0.5,0.0,0.0
1162,left,0,1,0.0,1.0,0.0,0.0
3419,left,9,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
813,right,5,5,0.8,0.2,0.0,0.0
12311,neutral,10,1,0.0,0.0,1.0,0.0
1245,right,37,1,0.0,1.0,0.0,0.0
29,right,37,1,0.0,1.0,0.0,0.0
334,left,1,2,0.5,0.5,0.0,0.0
3710,left,10,1,0.0,0.0,1.0,0.0
5177,left,0,1,1.0,0.0,0.0,0.0
415,left,0,1,0.0,1.0,0.0,0.0
772,left,0,1,0.0,1.0,0.0,0.0
