Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1815,right,21,1,0.0,1.0,0.0,0.0
4556,right,21,3,0.0,1.0,0.0,0.0
152,left,14,43,0.7674418604651163,0.11627906976744186,0.023255813953488372,0.09302325581395349
402,left,3,102,0.8431372549019608,0.08823529411764706,0.0196078431372549,0.049019607843137254
1817,left,4,5,1.0,0.0,0.0,0.0
50,left,4,3,1.0,0.0,0.0,0.0
5306,middle,10,2,0.0,0.0,1.0,0.0
5608,middle,10,5,0.4,0.4,0.2,0.0
8312,neutral,6,5,0.8,0.0,0.0,0.2
5994,left,6,18,0.7777777777777778,0.05555555555555555,0.0,0.16666666666666666
4539,left,4,11,0.8181818181818182,0.18181818181818182,0.0,0.0
25,left,9,1,1.0,0.0,0.0,0.0
259,left,9,31,0.8387096774193549,0.03225806451612903,0.0,0.12903225806451613
3357,left,6,1,1.0,0.0,0.0,0.0
9462,left,19,1,1.0,0.0,0.0,0.0
5868,left,19,15,0.8,0.0,0.06666666666666667,0.13333333333333333
2281,left,11,1,1.0,0.0,0.0,0.0
958,left,11,68,0.8235294117647058,0.08823529411764706,0.058823529411764705,0.029411764705882353
8132,left,14,1,1.0,0.0,0.0,0.0
2648,left,14,119,0.9243697478991597,0.03361344537815126,0.008403361344537815,0.03361344537815126
2712,left,18,2,1.0,0.0,0.0,0.0
5835,neutral,10,2,1.0,0.0,0.0,0.0
54,left,7,27,0.8888888888888888,0.07407407407407407,0.0,0.037037037037037035
12191,right,5,1,0.0,0.0,0.0,1.0
1427,neutral,5,85,0.7176470588235294,0.09411764705882353,0.011764705882352941,0.17647058823529413
1788,left,14,8,0.625,0.125,0.125,0.125
6066,left,6,1,1.0,0.0,0.0,0.0
5266,left,19,3,0.6666666666666666,0.0,0.0,0.3333333333333333
649,left,1,784,0.8801020408163265,0.05739795918367347,0.02423469387755102,0.03826530612244898
11277,left,14,3,0.6666666666666666,0.3333333333333333,0.0,0.0
1367,right,14,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
20451,left,1,1,1.0,0.0,0.0,0.0
6470,left,19,2,1.0,0.0,0.0,0.0
1979,left,5,71,0.8309859154929577,0.028169014084507043,0.04225352112676056,0.09859154929577464
389,left,14,3,0.6666666666666666,0.0,0.0,0.3333333333333333
1604,left,6,12,1.0,0.0,0.0,0.0
1924,left,7,2,0.5,0.0,0.0,0.5
22638,right,19,1,1.0,0.0,0.0,0.0
112,left,19,36,0.7777777777777778,0.05555555555555555,0.05555555555555555,0.1111111111111111
1002,left,19,4,1.0,0.0,0.0,0.0
1521,left,5,1,0.0,0.0,0.0,1.0
13929,middle,5,1,1.0,0.0,0.0,0.0
1736,left,7,2,0.5,0.0,0.5,0.0
4399,left,7,47,0.9361702127659575,0.06382978723404255,0.0,0.0
2748,left,9,6,0.8333333333333334,0.16666666666666666,0.0,0.0
8530,left,9,4,0.75,0.0,0.0,0.25
4408,left,10,3,1.0,0.0,0.0,0.0
5697,left,10,6,1.0,0.0,0.0,0.0
18542,neutral,5,1,0.0,0.0,0.0,1.0
17277,neutral,5,1,0.0,0.0,0.0,1.0
10751,left,5,3,0.6666666666666666,0.0,0.0,0.3333333333333333
5082,left,9,4,1.0,0.0,0.0,0.0
3607,left,5,3,0.6666666666666666,0.0,0.0,0.3333333333333333
1858,right,8,3,0.3333333333333333,0.6666666666666666,0.0,0.0
3543,left,1,58,0.8620689655172413,0.08620689655172414,0.017241379310344827,0.034482758620689655
399,left,3,58,0.9655172413793104,0.0,0.0,0.034482758620689655
1303,left,2,21,0.6190476190476191,0.23809523809523808,0.14285714285714285,0.0
2085,left,3,10,0.7,0.0,0.1,0.2
1062,left,3,73,0.9726027397260274,0.0,0.0136986301369863,0.0136986301369863
5177,left,8,5,0.6,0.2,0.2,0.0
776,left,11,1,1.0,0.0,0.0,0.0
749,left,11,48,0.8125,0.0625,0.020833333333333332,0.10416666666666667
1026,middle,8,1,1.0,0.0,0.0,0.0
217,left,8,3,0.3333333333333333,0.0,0.6666666666666666,0.0
926,middle,8,5,0.2,0.4,0.4,0.0
10974,right,24,1,0.0,1.0,0.0,0.0
5458,right,24,2,0.0,1.0,0.0,0.0
22639,left,12,1,0.0,1.0,0.0,0.0
48,right,12,3,0.6666666666666666,0.3333333333333333,0.0,0.0
695,neutral,3,16,0.9375,0.0,0.0,0.0625
971,left,4,54,0.8888888888888888,0.05555555555555555,0.037037037037037035,0.018518518518518517
8265,left,14,4,1.0,0.0,0.0,0.0
4470,middle,18,7,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285
3420,left,9,11,1.0,0.0,0.0,0.0
19357,left,1,4,1.0,0.0,0.0,0.0
43,left,3,104,0.9423076923076923,0.019230769230769232,0.0,0.038461538461538464
19088,left,1,1,1.0,0.0,0.0,0.0
4446,left,1,3,0.6666666666666666,0.0,0.0,0.3333333333333333
6704,left,18,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.0
57,left,5,166,0.891566265060241,0.018072289156626505,0.024096385542168676,0.06626506024096386
14554,left,5,2,1.0,0.0,0.0,0.0
1417,neutral,4,5,1.0,0.0,0.0,0.0
19972,neutral,9,2,0.5,0.0,0.0,0.5
20410,right,20,3,0.0,1.0,0.0,0.0
1881,right,20,1,0.0,1.0,0.0,0.0
236,right,20,2,0.5,0.5,0.0,0.0
899,right,20,6,0.0,1.0,0.0,0.0
1432,neutral,9,32,0.71875,0.21875,0.0625,0.0
6930,left,9,1,0.0,0.0,0.0,1.0
1702,left,1,1,1.0,0.0,0.0,0.0
4269,left,9,1,1.0,0.0,0.0,0.0
724,left,3,1,1.0,0.0,0.0,0.0
1357,left,3,9,1.0,0.0,0.0,0.0
515,left,4,8,0.875,0.0,0.125,0.0
18293,left,1,1,1.0,0.0,0.0,0.0
4610,middle,8,2,0.0,1.0,0.0,0.0
735,right,8,3,0.0,0.0,1.0,0.0
14,right,8,186,0.6612903225806451,0.13440860215053763,0.17204301075268819,0.03225806451612903
63,left,3,21,0.9047619047619048,0.047619047619047616,0.047619047619047616,0.0
