Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
2308,right,0,3,0.0,1.0,0.0,0.0
16916,right,0,41,0.07317073170731707,0.9024390243902439,0.0,0.024390243902439025
1827,left,5,1,1.0,0.0,0.0,0.0
481,left,5,74,0.8108108108108109,0.14864864864864866,0.02702702702702703,0.013513513513513514
1807,left,1,6,0.3333333333333333,0.5,0.16666666666666666,0.0
13120,right,9,37,0.16216216216216217,0.6756756756756757,0.13513513513513514,0.02702702702702703
580,right,9,121,0.6446280991735537,0.21487603305785125,0.06611570247933884,0.0743801652892562
922,left,3,1,1.0,0.0,0.0,0.0
255,left,3,281,0.8256227758007118,0.05693950177935943,0.03558718861209965,0.08185053380782918
861,left,3,1,1.0,0.0,0.0,0.0
17319,right,15,2,0.5,0.5,0.0,0.0
12268,right,15,11,0.0,0.9090909090909091,0.09090909090909091,0.0
433,left,15,27,0.2962962962962963,0.5555555555555556,0.1111111111111111,0.037037037037037035
1736,left,2,13,0.6923076923076923,0.23076923076923078,0.0,0.07692307692307693
1316,left,13,82,0.9024390243902439,0.012195121951219513,0.036585365853658534,0.04878048780487805
323,right,11,51,0.7843137254901961,0.13725490196078433,0.058823529411764705,0.0196078431372549
2406,left,6,9,0.7777777777777778,0.2222222222222222,0.0,0.0
1357,left,6,140,0.85,0.04285714285714286,0.014285714285714285,0.09285714285714286
661,left,1,13,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.15384615384615385
28,middle,1,231,0.7260869565217392,0.14782608695652175,0.05217391304347826,0.07391304347826087
1890,left,4,4,0.75,0.25,0.0,0.0
293,left,4,8,0.875,0.125,0.0,0.0
11633,left,0,3,0.6666666666666666,0.3333333333333333,0.0,0.0
649,left,10,22,0.9545454545454546,0.045454545454545456,0.0,0.0
4656,right,0,4,0.0,1.0,0.0,0.0
10493,right,0,43,0.046511627906976744,0.8604651162790697,0.06976744186046512,0.023255813953488372
159,left,2,42,0.9047619047619048,0.07142857142857142,0.0,0.023809523809523808
196,left,3,21,0.7619047619047619,0.19047619047619047,0.0,0.047619047619047616
3028,left,3,26,0.8461538461538461,0.0,0.038461538461538464,0.11538461538461539
130,left,2,6,1.0,0.0,0.0,0.0
1155,left,3,45,0.8888888888888888,0.022222222222222223,0.044444444444444446,0.044444444444444446
165,left,4,6,0.8333333333333334,0.16666666666666666,0.0,0.0
17320,left,4,1,1.0,0.0,0.0,0.0
1312,left,4,2,1.0,0.0,0.0,0.0
17321,right,0,1,0.0,1.0,0.0,0.0
4445,right,0,22,0.0,1.0,0.0,0.0
2466,left,6,22,0.8181818181818182,0.18181818181818182,0.0,0.0
2352,right,15,5,0.2,0.8,0.0,0.0
9462,left,3,2,1.0,0.0,0.0,0.0
1288,left,2,14,0.7857142857142857,0.14285714285714285,0.0,0.07142857142857142
8798,neutral,3,8,0.625,0.125,0.0,0.25
259,left,3,8,0.75,0.0,0.0,0.25
141,right,14,31,0.8666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333
4408,left,7,4,0.75,0.25,0.0,0.0
412,left,2,43,0.9302325581395349,0.023255813953488372,0.046511627906976744,0.0
2536,left,7,114,0.911504424778761,0.017699115044247787,0.02654867256637168,0.04424778761061947
4171,right,7,5,1.0,0.0,0.0,0.0
308,left,8,9,0.7777777777777778,0.2222222222222222,0.0,0.0
391,left,3,13,0.9230769230769231,0.0,0.07692307692307693,0.0
558,left,6,4,1.0,0.0,0.0,0.0
3672,right,0,2,0.0,1.0,0.0,0.0
932,left,4,37,0.6486486486486487,0.2972972972972973,0.05405405405405406,0.0
310,left,1,12,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333
5751,left,16,7,1.0,0.0,0.0,0.0
191,left,2,4,1.0,0.0,0.0,0.0
1359,left,3,1,1.0,0.0,0.0,0.0
2289,left,7,94,0.9247311827956989,0.03225806451612903,0.021505376344086023,0.021505376344086023
2538,left,7,15,0.8,0.06666666666666667,0.0,0.13333333333333333
883,left,9,11,0.5454545454545454,0.45454545454545453,0.0,0.0
584,right,9,87,0.7126436781609196,0.09195402298850575,0.08045977011494253,0.11494252873563218
71,right,1,39,0.5897435897435898,0.2564102564102564,0.10256410256410256,0.05128205128205128
587,middle,1,5,0.2,0.6,0.2,0.0
17243,right,4,46,0.782608695652174,0.13043478260869565,0.06521739130434782,0.021739130434782608
3961,right,4,56,0.7321428571428571,0.16071428571428573,0.08928571428571429,0.017857142857142856
17322,left,12,1,0.0,1.0,0.0,0.0
7126,right,12,21,0.42857142857142855,0.14285714285714285,0.19047619047619047,0.23809523809523808
3957,left,2,35,0.7714285714285715,0.14285714285714285,0.05714285714285714,0.02857142857142857
1555,left,6,7,0.8571428571428571,0.14285714285714285,0.0,0.0
14733,right,7,2,0.5,0.5,0.0,0.0
2969,left,7,5,0.6,0.2,0.0,0.2
17323,right,7,1,0.0,1.0,0.0,0.0
2708,left,6,3,1.0,0.0,0.0,0.0
5497,right,0,5,0.0,1.0,0.0,0.0
4556,right,0,55,0.01818181818181818,0.8909090909090909,0.09090909090909091,0.0
974,left,8,7,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0
154,right,1,86,0.5581395348837209,0.19767441860465115,0.09302325581395349,0.1511627906976744
17324,left,1,1,0.0,1.0,0.0,0.0
1016,right,1,19,0.631578947368421,0.2631578947368421,0.05263157894736842,0.05263157894736842
6635,right,5,1,1.0,0.0,0.0,0.0
8533,left,35,1,1.0,0.0,0.0,0.0
2248,left,35,1,1.0,0.0,0.0,0.0
15201,left,5,3,1.0,0.0,0.0,0.0
2008,left,5,63,0.9516129032258065,0.016129032258064516,0.016129032258064516,0.016129032258064516
563,left,3,2,0.5,0.5,0.0,0.0
2958,left,8,2,0.5,0.0,0.5,0.0
16352,right,4,3,0.3333333333333333,0.6666666666666666,0.0,0.0
1833,left,3,20,0.8,0.1,0.0,0.1
1497,left,3,2,1.0,0.0,0.0,0.0
1836,left,10,1,0.0,0.0,0.0,1.0
13701,neutral,10,13,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0
1632,left,4,33,0.8484848484848485,0.09090909090909091,0.06060606060606061,0.0
408,left,7,4,1.0,0.0,0.0,0.0
2831,left,3,6,1.0,0.0,0.0,0.0
914,left,3,1,1.0,0.0,0.0,0.0
17325,left,3,40,0.825,0.1,0.025,0.05
1702,left,7,3,1.0,0.0,0.0,0.0
1205,left,7,1,1.0,0.0,0.0,0.0
