Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
70,left,3,2,1.0,0.0,0.0,0.0
1316,left,1,300,0.9333333333333333,0.03,0.01,0.02666666666666667
21561,right,0,1,0.0,1.0,0.0,0.0
4556,right,0,84,0.023809523809523808,0.9166666666666666,0.023809523809523808,0.03571428571428571
1527,right,0,2,0.0,1.0,0.0,0.0
1367,right,0,256,0.027450980392156862,0.9019607843137255,0.043137254901960784,0.027450980392156862
2427,right,0,8,0.0,0.875,0.125,0.0
4004,right,0,8,0.0,1.0,0.0,0.0
2958,left,1,3,1.0,0.0,0.0,0.0
43,left,1,81,0.9506172839506173,0.0,0.012345679012345678,0.037037037037037035
1843,left,1,3,1.0,0.0,0.0,0.0
19328,right,0,1,0.0,1.0,0.0,0.0
1507,right,0,222,0.0045045045045045045,0.9324324324324325,0.04504504504504504,0.018018018018018018
4343,right,0,1,0.0,1.0,0.0,0.0
795,right,0,15,0.0,1.0,0.0,0.0
12088,left,0,1,0.0,1.0,0.0,0.0
1266,right,0,75,0.02666666666666667,0.9466666666666667,0.0,0.02666666666666667
164,left,2,4,1.0,0.0,0.0,0.0
54,left,3,88,0.875,0.06818181818181818,0.011363636363636364,0.045454545454545456
4020,right,0,8,0.0,0.875,0.125,0.0
1689,left,3,1,0.0,0.0,1.0,0.0
145,middle,3,5,1.0,0.0,0.0,0.0
13081,left,3,1,1.0,0.0,0.0,0.0
3920,left,3,177,0.8531073446327684,0.0847457627118644,0.011299435028248588,0.05084745762711865
3381,right,1,1,1.0,0.0,0.0,0.0
10527,left,3,1,1.0,0.0,0.0,0.0
3264,right,0,10,0.0,1.0,0.0,0.0
48,right,0,30,0.0,0.9666666666666667,0.03333333333333333,0.0
12133,left,3,1,1.0,0.0,0.0,0.0
953,left,3,12,1.0,0.0,0.0,0.0
6091,right,0,1,0.0,1.0,0.0,0.0
8420,right,0,7,0.0,1.0,0.0,0.0
1281,right,0,7,0.0,0.8571428571428571,0.14285714285714285,0.0
1066,left,2,7,1.0,0.0,0.0,0.0
2038,right,0,36,0.027777777777777776,0.8888888888888888,0.027777777777777776,0.05555555555555555
7348,right,0,1,0.0,1.0,0.0,0.0
14536,right,0,21,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
21787,left,3,1,1.0,0.0,0.0,0.0
4277,right,0,19,0.0,0.8947368421052632,0.10526315789473684,0.0
1347,left,1,1,1.0,0.0,0.0,0.0
6094,left,1,96,0.9375,0.03125,0.010416666666666666,0.020833333333333332
481,left,2,34,0.9117647058823529,0.029411764705882353,0.029411764705882353,0.029411764705882353
788,left,3,8,1.0,0.0,0.0,0.0
3525,left,1,5,1.0,0.0,0.0,0.0
196,left,7,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
28,middle,3,47,0.851063829787234,0.0851063829787234,0.02127659574468085,0.0425531914893617
11129,left,7,2,0.5,0.5,0.0,0.0
2386,left,7,14,1.0,0.0,0.0,0.0
14,right,7,92,0.29347826086956524,0.5869565217391305,0.06521739130434782,0.05434782608695652
112,left,2,144,0.8811188811188811,0.06293706293706294,0.006993006993006993,0.04895104895104895
389,left,1,6,1.0,0.0,0.0,0.0
5804,left,1,1,1.0,0.0,0.0,0.0
6018,left,3,57,0.8947368421052632,0.07017543859649122,0.0,0.03508771929824561
8478,right,0,1,0.0,1.0,0.0,0.0
2234,left,3,1,1.0,0.0,0.0,0.0
165,left,3,2,1.0,0.0,0.0,0.0
841,right,0,8,0.0,0.875,0.125,0.0
9377,right,0,3,0.0,1.0,0.0,0.0
9216,right,0,1,0.0,1.0,0.0,0.0
17036,right,0,2,0.0,1.0,0.0,0.0
3482,left,2,8,1.0,0.0,0.0,0.0
883,left,2,6,1.0,0.0,0.0,0.0
310,left,2,1,0.0,1.0,0.0,0.0
6003,right,2,21,0.9047619047619048,0.047619047619047616,0.047619047619047616,0.0
9969,right,0,2,0.0,1.0,0.0,0.0
931,left,3,3,1.0,0.0,0.0,0.0
2295,left,3,1,1.0,0.0,0.0,0.0
200,right,10,2,0.0,0.5,0.5,0.0
21788,left,9,1,0.0,1.0,0.0,0.0
899,right,9,10,0.1,0.8,0.1,0.0
150,left,2,1,0.0,1.0,0.0,0.0
591,left,12,2,1.0,0.0,0.0,0.0
592,left,12,2,1.0,0.0,0.0,0.0
1220,left,12,3,0.6666666666666666,0.0,0.3333333333333333,0.0
5270,left,1,3,1.0,0.0,0.0,0.0
412,left,1,23,0.9565217391304348,0.0,0.0,0.043478260869565216
9408,neutral,30,1,1.0,0.0,0.0,0.0
1471,left,30,1,0.0,0.0,0.0,1.0
14860,left,2,1,1.0,0.0,0.0,0.0
1261,right,0,31,0.12903225806451613,0.7741935483870968,0.0967741935483871,0.0
250,left,0,7,0.0,0.8571428571428571,0.14285714285714285,0.0
