Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
1143,left,11,2,1.0,0.0,0.0,0.0
5227,left,11,9,1.0,0.0,0.0,0.0
1817,left,2,3,0.6666666666666666,0.3333333333333333,0.0,0.0
5136,left,8,1,1.0,0.0,0.0,0.0
17375,left,8,39,1.0,0.0,0.0,0.0
4806,middle,14,4,0.0,1.0,0.0,0.0
1367,right,12,13,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.0
9545,right,17,1,0.0,1.0,0.0,0.0
4277,right,17,17,0.0,0.9411764705882353,0.0,0.058823529411764705
1243,left,1,3,1.0,0.0,0.0,0.0
2648,left,4,165,0.9454545454545454,0.030303030303030304,0.006060606060606061,0.01818181818181818
196,left,11,5,0.8,0.2,0.0,0.0
19,right,1,19,0.9444444444444444,0.05555555555555555,0.0,0.0
1896,left,4,1,1.0,0.0,0.0,0.0
4469,right,0,1,0.0,1.0,0.0,0.0
2038,right,0,12,0.0,0.9166666666666666,0.0,0.08333333333333333
1295,left,2,5,0.6,0.2,0.2,0.0
112,left,11,92,0.9230769230769231,0.03296703296703297,0.02197802197802198,0.02197802197802198
2289,left,5,49,0.8979591836734694,0.04081632653061224,0.0,0.061224489795918366
6022,left,5,7,1.0,0.0,0.0,0.0
1427,neutral,4,5,1.0,0.0,0.0,0.0
3739,right,4,6,0.8333333333333334,0.16666666666666666,0.0,0.0
3310,left,4,7,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285
12668,right,7,1,1.0,0.0,0.0,0.0
1993,left,7,105,0.7596153846153846,0.11538461538461539,0.04807692307692308,0.07692307692307693
243,left,5,8,0.75,0.0,0.125,0.125
4782,left,5,1,1.0,0.0,0.0,0.0
13081,left,8,1,1.0,0.0,0.0,0.0
1148,left,8,47,0.8936170212765957,0.0425531914893617,0.0,0.06382978723404255
1769,left,3,1,1.0,0.0,0.0,0.0
6512,left,3,114,0.9035087719298246,0.03508771929824561,0.02631578947368421,0.03508771929824561
481,left,1,12,0.9166666666666666,0.0,0.08333333333333333,0.0
2536,left,2,33,0.8181818181818182,0.030303030303030304,0.0,0.15151515151515152
2085,left,2,4,0.75,0.0,0.25,0.0
747,left,5,96,0.9368421052631579,0.021052631578947368,0.031578947368421054,0.010526315789473684
1316,left,6,75,0.92,0.02666666666666667,0.013333333333333334,0.04
7739,left,3,1,1.0,0.0,0.0,0.0
2748,left,3,3,0.6666666666666666,0.0,0.0,0.3333333333333333
250,left,3,17,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941
14263,left,4,1,1.0,0.0,0.0,0.0
653,neutral,3,10,0.7,0.0,0.2,0.1
1359,left,4,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
3198,left,4,1,1.0,0.0,0.0,0.0
668,left,5,2,1.0,0.0,0.0,0.0
5379,middle,5,3,0.6666666666666666,0.0,0.3333333333333333,0.0
12626,left,0,1,0.0,1.0,0.0,0.0
2719,right,0,42,0.07142857142857142,0.8809523809523809,0.0,0.047619047619047616
5307,right,13,2,0.5,0.5,0.0,0.0
