Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
7892,right,16,4,0.0,0.5,0.5,0.0
17268,middle,16,1,0.0,1.0,0.0,0.0
13120,right,16,18,0.16666666666666666,0.5,0.2777777777777778,0.05555555555555555
580,right,16,33,0.5151515151515151,0.3333333333333333,0.15151515151515152,0.0
210,left,4,18,0.5294117647058824,0.29411764705882354,0.11764705882352941,0.058823529411764705
6215,right,4,2,0.5,0.5,0.0,0.0
471,neutral,4,1,1.0,0.0,0.0,0.0
6324,left,4,1,1.0,0.0,0.0,0.0
486,left,0,1,1.0,0.0,0.0,0.0
112,left,0,239,0.9117647058823529,0.05042016806722689,0.008403361344537815,0.029411764705882353
5867,neutral,7,1,1.0,0.0,0.0,0.0
6550,left,7,9,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222
937,right,12,3,0.6666666666666666,0.3333333333333333,0.0,0.0
269,left,5,26,0.72,0.24,0.04,0.0
4812,right,14,20,0.05,0.9,0.0,0.05
1002,left,8,7,0.8571428571428571,0.0,0.14285714285714285,0.0
1359,left,18,1,1.0,0.0,0.0,0.0
1062,left,18,2,1.0,0.0,0.0,0.0
3896,left,7,1,1.0,0.0,0.0,0.0
2075,left,7,4,1.0,0.0,0.0,0.0
9079,left,8,7,0.8571428571428571,0.14285714285714285,0.0,0.0
5889,left,8,1,1.0,0.0,0.0,0.0
68,left,8,71,0.7887323943661971,0.056338028169014086,0.014084507042253521,0.14084507042253522
1304,left,7,1,1.0,0.0,0.0,0.0
60,left,7,6,1.0,0.0,0.0,0.0
7056,middle,8,11,1.0,0.0,0.0,0.0
2270,left,0,2,1.0,0.0,0.0,0.0
4589,left,8,2,0.5,0.5,0.0,0.0
423,right,8,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
3844,left,13,2,1.0,0.0,0.0,0.0
14345,left,13,15,1.0,0.0,0.0,0.0
9248,left,10,5,0.8,0.0,0.2,0.0
13904,right,1,1,0.0,1.0,0.0,0.0
1507,right,1,44,0.0,0.8863636363636364,0.06818181818181818,0.045454545454545456
2289,left,10,6,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666
2538,left,10,28,0.8214285714285714,0.0,0.03571428571428571,0.14285714285714285
4213,left,12,1,0.0,1.0,0.0,0.0
18435,left,8,1,1.0,0.0,0.0,0.0
747,left,11,14,0.9285714285714286,0.07142857142857142,0.0,0.0
18436,left,36,1,0.0,1.0,0.0,0.0
8607,right,36,1,1.0,0.0,0.0,0.0
3654,left,5,1,1.0,0.0,0.0,0.0
17819,left,0,1,1.0,0.0,0.0,0.0
1326,left,2,1,1.0,0.0,0.0,0.0
1357,left,2,171,0.8421052631578947,0.03508771929824561,0.029239766081871343,0.0935672514619883
674,left,8,1,1.0,0.0,0.0,0.0
226,neutral,9,11,0.6363636363636364,0.36363636363636365,0.0,0.0
530,left,74,2,1.0,0.0,0.0,0.0
5235,middle,9,2,1.0,0.0,0.0,0.0
155,left,9,15,0.7333333333333333,0.0,0.13333333333333333,0.13333333333333333
18437,left,37,1,0.0,1.0,0.0,0.0
13558,right,37,1,1.0,0.0,0.0,0.0
1736,left,5,1,1.0,0.0,0.0,0.0
497,left,5,3,0.3333333333333333,0.6666666666666666,0.0,0.0
9559,right,14,2,0.0,1.0,0.0,0.0
341,right,14,5,0.2,0.8,0.0,0.0
