Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
206,left,4,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0
6507,left,4,2,1.0,0.0,0.0,0.0
14034,neutral,9,2,0.5,0.0,0.0,0.5
3228,left,9,129,0.8992248062015504,0.06976744186046512,0.0,0.031007751937984496
1826,left,3,5,0.6,0.0,0.2,0.2
269,left,2,68,0.7313432835820896,0.16417910447761194,0.07462686567164178,0.029850746268656716
2210,left,3,17,0.8235294117647058,0.17647058823529413,0.0,0.0
20080,left,5,20,0.95,0.05,0.0,0.0
20480,left,13,2,1.0,0.0,0.0,0.0
18474,left,13,1,1.0,0.0,0.0,0.0
1833,left,9,16,0.8125,0.1875,0.0,0.0
57,left,2,9,0.8888888888888888,0.1111111111111111,0.0,0.0
2962,right,0,10,0.0,0.8,0.1,0.1
1249,right,0,2,0.0,1.0,0.0,0.0
14534,left,2,1,1.0,0.0,0.0,0.0
749,left,8,26,0.8846153846153846,0.038461538461538464,0.0,0.07692307692307693
3781,left,1,3,0.6666666666666666,0.3333333333333333,0.0,0.0
580,right,1,127,0.84251968503937,0.08661417322834646,0.03937007874015748,0.031496062992125984
1817,left,6,4,0.25,0.25,0.25,0.25
11455,left,9,7,1.0,0.0,0.0,0.0
43,left,3,219,0.9406392694063926,0.0228310502283105,0.0091324200913242,0.0273972602739726
20483,neutral,14,1,0.0,0.0,0.0,1.0
8916,neutral,14,38,0.05263157894736842,0.2631578947368421,0.0,0.6842105263157895
20484,neutral,5,1,1.0,0.0,0.0,0.0
112,left,5,371,0.8540540540540541,0.07297297297297298,0.01891891891891892,0.05405405405405406
5750,left,13,18,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555
5083,left,9,5,1.0,0.0,0.0,0.0
14207,neutral,75,0,0.0,0.0,0.0,0.0
9350,left,2,2,0.5,0.0,0.0,0.5
2655,left,2,242,0.8223140495867769,0.0743801652892562,0.028925619834710745,0.0743801652892562
3270,left,11,37,0.8648648648648649,0.05405405405405406,0.0,0.08108108108108109
1316,left,2,100,0.88,0.04,0.01,0.07
20485,left,8,2,1.0,0.0,0.0,0.0
13941,left,8,86,0.8023255813953488,0.18604651162790697,0.0,0.011627906976744186
7178,left,8,127,0.8740157480314961,0.015748031496062992,0.007874015748031496,0.10236220472440945
8777,left,4,1,0.0,0.0,1.0,0.0
28,middle,4,270,0.7888888888888889,0.1037037037037037,0.03333333333333333,0.07407407407407407
1295,left,1,4,1.0,0.0,0.0,0.0
649,left,1,36,0.8333333333333334,0.08333333333333333,0.027777777777777776,0.05555555555555555
855,left,4,9,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0
2536,left,2,168,0.9161676646706587,0.011976047904191617,0.017964071856287425,0.05389221556886228
3689,left,5,4,0.5,0.25,0.0,0.25
5520,left,1,5,1.0,0.0,0.0,0.0
13606,left,5,1,1.0,0.0,0.0,0.0
7692,left,11,44,0.8636363636363636,0.11363636363636363,0.0,0.022727272727272728
433,left,1,92,0.7934782608695652,0.13043478260869565,0.05434782608695652,0.021739130434782608
9366,right,0,1,0.0,1.0,0.0,0.0
1507,right,0,92,0.0,0.9021739130434783,0.08695652173913043,0.010869565217391304
3068,left,11,3,0.6666666666666666,0.3333333333333333,0.0,0.0
964,left,4,11,0.5454545454545454,0.45454545454545453,0.0,0.0
4399,left,1,49,0.8979591836734694,0.061224489795918366,0.02040816326530612,0.02040816326530612
10572,left,8,1,1.0,0.0,0.0,0.0
68,left,3,19,0.631578947368421,0.10526315789473684,0.10526315789473684,0.15789473684210525
1732,left,0,2,0.5,0.5,0.0,0.0
