Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
398,left,17,1,1.0,0.0,0.0,0.0
1357,left,17,45,0.9333333333333333,0.0,0.0,0.06666666666666667
1066,left,3,11,0.8181818181818182,0.0,0.18181818181818182,0.0
649,left,2,118,0.9067796610169492,0.06779661016949153,0.00847457627118644,0.01694915254237288
984,left,11,4,0.5,0.25,0.25,0.0
112,left,0,527,0.8878326996197718,0.055133079847908745,0.017110266159695818,0.039923954372623575
2279,right,0,23,0.8695652173913043,0.13043478260869565,0.0,0.0
540,left,2,9,0.8888888888888888,0.1111111111111111,0.0,0.0
1668,left,6,20,0.8,0.05,0.15,0.0
21129,neutral,6,2,1.0,0.0,0.0,0.0
165,left,6,22,0.9545454545454546,0.0,0.0,0.045454545454545456
3629,left,6,1,0.0,0.0,0.0,1.0
7986,left,12,3,1.0,0.0,0.0,0.0
26,left,12,40,0.9,0.05,0.025,0.025
13734,right,14,1,1.0,0.0,0.0,0.0
43,left,14,7,0.8571428571428571,0.14285714285714285,0.0,0.0
3316,left,5,1,1.0,0.0,0.0,0.0
1155,left,5,48,0.9166666666666666,0.041666666666666664,0.020833333333333332,0.020833333333333332
11418,right,8,1,1.0,0.0,0.0,0.0
1993,left,8,82,0.7530864197530864,0.1111111111111111,0.037037037037037035,0.09876543209876543
481,left,6,39,0.9473684210526315,0.02631578947368421,0.02631578947368421,0.0
2536,left,2,31,0.9,0.03333333333333333,0.0,0.06666666666666667
11003,left,6,4,1.0,0.0,0.0,0.0
2725,left,6,1,1.0,0.0,0.0,0.0
7763,left,6,19,0.8947368421052632,0.0,0.05263157894736842,0.05263157894736842
1732,left,0,1,1.0,0.0,0.0,0.0
542,middle,11,21,0.47619047619047616,0.19047619047619047,0.23809523809523808,0.09523809523809523
3492,left,17,2,1.0,0.0,0.0,0.0
2183,left,17,2,1.0,0.0,0.0,0.0
3357,left,7,1,1.0,0.0,0.0,0.0
1316,left,7,252,0.8373015873015873,0.04365079365079365,0.023809523809523808,0.09523809523809523
4895,right,1,1,0.0,1.0,0.0,0.0
1367,right,1,39,0.21052631578947367,0.6842105263157895,0.05263157894736842,0.05263157894736842
5348,left,10,1,1.0,0.0,0.0,0.0
6469,left,10,3,0.6666666666666666,0.0,0.0,0.3333333333333333
21236,left,12,1,1.0,0.0,0.0,0.0
7178,left,12,109,0.908256880733945,0.01834862385321101,0.009174311926605505,0.06422018348623854
21237,neutral,6,1,1.0,0.0,0.0,0.0
3624,left,6,2,0.5,0.0,0.0,0.5
7691,left,4,10,0.7,0.1,0.2,0.0
412,left,14,40,0.95,0.025,0.025,0.0
14,right,14,24,0.75,0.125,0.08333333333333333,0.041666666666666664
1278,right,11,9,0.0,0.3333333333333333,0.6666666666666666,0.0
361,right,11,2,0.0,0.5,0.5,0.0
111,left,6,2,1.0,0.0,0.0,0.0
1435,left,4,4,0.75,0.0,0.0,0.25
18928,right,35,1,0.0,1.0,0.0,0.0
20321,right,35,1,0.0,1.0,0.0,0.0
9509,middle,1,1,0.0,1.0,0.0,0.0
747,left,2,36,0.8888888888888888,0.05555555555555555,0.027777777777777776,0.027777777777777776
2969,left,2,29,0.9310344827586207,0.034482758620689655,0.0,0.034482758620689655
10129,left,4,1,0.0,0.0,0.0,1.0
226,neutral,4,4,0.75,0.25,0.0,0.0
937,right,12,6,0.3333333333333333,0.5,0.16666666666666666,0.0
28,middle,0,625,0.8528,0.0672,0.0176,0.0624
17181,left,0,1,1.0,0.0,0.0,0.0
1555,left,3,4,0.75,0.25,0.0,0.0
196,left,11,12,0.75,0.08333333333333333,0.16666666666666666,0.0
3323,left,5,105,0.9333333333333333,0.02857142857142857,0.009523809523809525,0.02857142857142857
4555,right,12,2,0.5,0.5,0.0,0.0
3533,left,2,3,1.0,0.0,0.0,0.0
8466,left,17,10,0.7,0.3,0.0,0.0
3256,left,3,2,1.0,0.0,0.0,0.0
6018,left,3,128,0.8828125,0.046875,0.0078125,0.0625
323,right,2,33,0.9090909090909091,0.06060606060606061,0.0,0.030303030303030304
1736,left,5,4,1.0,0.0,0.0,0.0
7074,left,5,12,0.9166666666666666,0.0,0.0,0.08333333333333333
2748,left,10,3,0.6666666666666666,0.0,0.0,0.3333333333333333
13701,neutral,10,32,0.8125,0.09375,0.03125,0.0625
10356,left,10,1,0.0,0.0,0.0,1.0
5177,left,14,2,0.0,1.0,0.0,0.0
3381,right,3,1,1.0,0.0,0.0,0.0
274,left,3,21,0.8095238095238095,0.09523809523809523,0.0,0.09523809523809523
3887,left,3,2,1.0,0.0,0.0,0.0
943,left,0,4,0.5,0.25,0.25,0.0
2289,left,2,99,0.9081632653061225,0.030612244897959183,0.02040816326530612,0.04081632653061224
3419,left,0,8,0.875,0.0,0.125,0.0
1574,left,2,7,1.0,0.0,0.0,0.0
5787,left,4,11,0.6363636363636364,0.09090909090909091,0.18181818181818182,0.09090909090909091
847,left,2,9,1.0,0.0,0.0,0.0
1700,left,3,1,1.0,0.0,0.0,0.0
10974,right,1,1,0.0,1.0,0.0,0.0
1143,left,0,5,0.8,0.0,0.2,0.0
18630,left,2,2,1.0,0.0,0.0,0.0
6689,left,2,8,0.875,0.0,0.125,0.0
4064,left,2,33,0.9393939393939394,0.030303030303030304,0.030303030303030304,0.0
9464,neutral,3,1,1.0,0.0,0.0,0.0
1420,left,12,2,0.5,0.5,0.0,0.0
14258,left,12,1,1.0,0.0,0.0,0.0
3960,right,1,2,0.0,1.0,0.0,0.0
1924,left,5,2,1.0,0.0,0.0,0.0
15501,left,3,1,1.0,0.0,0.0,0.0
1870,left,5,5,0.6,0.4,0.0,0.0
423,right,5,8,0.75,0.25,0.0,0.0
953,left,6,31,0.9,0.03333333333333333,0.0,0.06666666666666667
788,left,7,14,0.9285714285714286,0.0,0.07142857142857142,0.0
5190,neutral,0,1,1.0,0.0,0.0,0.0
1008,left,2,2,1.0,0.0,0.0,0.0
5085,left,3,1,1.0,0.0,0.0,0.0
13311,left,5,3,0.6666666666666666,0.3333333333333333,0.0,0.0
1890,left,10,3,0.6666666666666666,0.0,0.0,0.3333333333333333
2912,middle,11,1,0.0,0.0,1.0,0.0
195,middle,11,4,0.0,0.25,0.75,0.0
